,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,average_salary,company_txt,job_state,same_state,age,python_yn,r_studio_yn,spark_yn,aws_yn,excel_yn,job_simp,seniority,desc_len,num_comp
0,Data Scientist,$108K-$145K (Glassdoor est.),"Secure our Nation, Ignite your Future

Summary

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies
Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Desired Experience, Skills & Technologies
Previous investigative experience, using a combination of technical and analytic skills
#LI-SS2

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,0,0,108,145,126.5,ManTech, VA,0,52,0,0,0,0,0,data scientist,na,3490,0
1,Data Scientist,$108K-$145K (Glassdoor est.),"Who We Are

Were Americas largest mortgage lender, closing loans in all 50 states. J.D Power ranked Quicken Loans Highest in Customer Satisfaction in Primary Mortgage Origination for the past nine consecutive years, 2010 2018. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for four consecutive years, 2014 through 2017, each year the company was eligible. Theres a simple reason weve been so successful: We care about the people we work with.

If youre tired of stuffy, bureaucratic workplaces, then youll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply wont find anywhere else. Quicken Loans was named #1 in ESSENCE Magazines first ever list of Best Places to Work for African Americans in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last five years. We were also ranked #14 in FORTUNE Magazines list of ""100 Best Companies to Work For"" in 2018, remaining in the top-30 for the past 15 years.

What Youll Do/Need

The Data Scientist at Quicken Loans delves into the recesses of large data sets of structured, semi-structured and unstructured data to discover hidden knowledge about our business and to develop methods to leverage that knowledge within our line of business. The successful candidate combines strengths in mathematics and applied statics, computer science, visualization capabilities and a healthy sense of exploration and knowledge acquisition.

Responsibilities
Leverage your knowledge of programming, mathematics and computer science to transform the way our company does business
Translate business opportunities into data-driven machine learning, big data and modeling solutions that revamp our processes or produce data products
Develop and collect data for ad-hoc and statistical analyses
Identify methods that allow continuous and automated statistical testing to enhance the predictability of deployed models
Maintain relationships between business area clients, Business Intelligence and Technology so all teams are aligned to meet team objectives
Work with Project Managers to develop detailed project timelines
Summarize and present conclusions and solutions
Communicate complex analyses clearly to all audiences
Requirements
Masters degree or above in a STEM field, including but not limited to: computer science, statistics, applied mathematics, operations research, engineering, economics, social sciences, physics, chemistry
4 years of experience providing advanced analytics within a business setting
1 year of data science implementation experience within a business setting
Experience working with raw and missing data
Understanding of programming fundamentals
Understanding of statistics
Excellent communication skills
Whatll Make You Special
Experience with data visualization tools and time series
Working knowledge of relational databases and standard SQL query methods
Proficiency in at least one general programming language such as Python, Java or C/C++
Experience working with big data within a Hadoop environment
Experience working with R, SAS or other statistical packages
Advanced experience with statistical, econometric or data-mining tools and methods
Experience with linear models (linear regression, generalized linear regression, logistic regression), and nonlinear modeling techniques
Knowledge of advanced nonlinear techniques, including smoothing and ensemble methods
What Youll Get
Excellent benefits package that includes a 401(k) match, medical/dental/vision insurance and much more
Opportunities to participate in professional and personal development programs, including personal empowerment coaching, leadership training and ongoing personal growth training
Other incentives, contests and rewards, including trips, event tickets, cash prizes and more
Why We're Different

Corporate politics not your strong suit? The anti-corporate culture of Quicken Loans gives our team members the initiative to build solutions together and grow both personally and professionally. At Quicken Loans, were in the business of putting roofs over our clients heads, but we certainly arent putting ceilings on our team members careers. If youre interested in working in a place with a philosophy thats truly different, apply today.",3.9,"Quicken Loans
3.9","Detroit, MI","Detroit, MI",10000+ employees,1985,Company - Private,Lending,Finance,$10+ billion (USD),"Citi, Bank of America, Wells Fargo",0,0,108,145,126.5,Quicken Loans, MI,1,35,1,0,0,0,1,data scientist,na,4376,3
2,Data Scientist,$108K-$145K (Glassdoor est.),"The Senior Data Scientist will build and improve analytic pipelines to consolidate multiple data sources, perform analytic processing, and produce actionable business information (e.g., top-10 lists, pattern-matches, exceptions, or lists of 'needles in the haystack'). S/he will apply hands-on development skills and experience as an expert in analytics, data science, pattern recognition, and predic",3.7,"Powertek
3.7","Washington, DC","Rockville, MD",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,0,0,108,145,126.5,Powertek, DC,0,19,0,0,0,0,0,data scientist,na,400,0
3,Senior Data Scientist,$108K-$145K (Glassdoor est.),"Benson Hill empowers innovators to develop more healthy, tasty and sustainable food by unlocking the natural genetic diversity of plants. Benson Hill's CropOS platform combines machine learning and big data with breeding techniques and plant biology to drastically accelerate and simplify the product development process. This platform allows for cost-effective and more efficient ways for companies to analyze and make improvements in plant genetics. Benson Hill brings a unique and holistic approach to our product and platform development, as we span a broader workflow involving trait and seed development, genome editing, and breeding all the way to creating better ingredients and varieties that tap a strong consumer demand for more flavorful and nutritious fruits and vegetables. More information can be found online at www.bensonhill.com. Follow us on Twitter at @BensonHillInc.

Our Purpose and Core Values

Our Core Values are a set of common principles we share that are fundamental to our company's identity.
Be Bold! We redefine boundaries by providing new solutions to difficult problems. Together we are driven to transform the future and will not allow the fear of failure to prevent us from innovating. We voice our opinions, embrace change, and challenge each other to think creatively.
Be Inspired! We redefine boundaries by providing new solutions to difficult problems. Together we are driven to transform the future and will not allow the fear of failure to prevent us from innovating. We voice our opinions, embrace change, and challenge each other to think creatively.
Be Real! We understand who we are, what we want to achieve, and what it takes to get there. We hold each other accountable through timely, candid, and well-intentioned feedback. Together we engage in honest communication and healthy debate that leads to success through true alignment.
Department Overview

The Data Science & Platform Engineering Department leads the development of Benson Hill's crop design platform, CropOS which combines machine learning and big data with genome editing and plant biology to accelerate and simplify the product development process. The team partners with the Research & Development teams on the development of a portfolio of offerings (commercial, product, or platform related) that meet the needs of Benson Hill's business units.

Position Summary

We are actively seeking a Senior Data Scientist to join our rapidly growing Research and Development Department. The successful candidate will be responsible for developing and implementing environmental and geospatial models enabling field experimental design and optimization of product performance across testing environments. This person will work closely with Benson Hill data engineers, scientists and project leaders to maximize the impact of Benson Hill's product development programs.

You Will:

(Essential Duties and Responsibilities)
Develop and refine geospatial data analysis, storage, and modeling systems.
Conduct independent analyses of performance and use advanced approaches to identify predictive models in a geospatial framework.
Participate in the design of hypothesis-driven experiments and analyses.
Perform spatial and statistical analysis on experimental outputs and interpret results
Communicate results in written and visual formats to scientists and program leaders.
Identify opportunities for model enhancements and opportunities for new models to create value in the product discovery and testing pipeline.
You Have:

Education
PhD preferred (minimum BS plus 4 years' experience), in applied mathematics, physics, engineering, statistics, ecology, or closely related field with formal training in statistics and experimental design, with demonstrable track record of peer-reviewed publications.
Experience
Demonstrated enthusiasm for data-driven discovery.
Experience with geospatial analyses, modeling, and interactive system development.
Highly developed ability to identify and evaluate predictive models and their utility.
Experience with machine learning and statistical concepts, packages and libraries.
Background and experience analyzing data with Python, R, or Julia.
Expert with at least one scripting language, Python or R preferred.
Ability to work in collaborative team, and the ability to respond positively to critiques of work.
Excellent communication skills, both electronic and in-person.
A track record of producing deliverables and meeting tight release deadlines.
Ability to work autonomously, identify key tasks, and find solutions to challenges.
Experience organizing and planning complex projects
Strong record of personal development and learning new technologies.
Software/Skillset
Strong understanding of scientific concepts, approaches, application, and interpretation.
Demonstrated experience with common machine learning approaches, statistics, geospatial and command line (e.g. R) applications.
Other
Attention to detail
Strong Customer Focus
Collaborative
Ability to focus and work independently with little direction
We have a Total Rewards Package at Benson Hill that consists of more than just your paycheck. Total Rewards at Benson Hill covers Pay (salary and bonus), Health (employer benefit contributions) and Wealth (investments). Some of the perks include:
A Collaborative Environment
A flexible PTO program with a focus on work/life balance
Competitive medical benefits and retirement savings plan
FREE Dental and Vision Coverage
Education reimbursement
PAID parental leave
And more.",3.0,"Benson Hill
3.0","Saint Louis, MO","Saint Louis, MO",201 to 500 employees,2012,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,0,0,108,145,126.5,Benson Hill, MO,1,8,1,1,0,0,1,data scientist,senior,5536,0
4,Data Scientist,$108K-$145K (Glassdoor est.),"*Organization and Job ID**
Job ID: 310781

Directorate: Earth & Biological Sciences

Division: Environmental Molecular Sciences

Group: Computing, Analytics & Modeling
*Job Description**
The Pacific Northwest National Laboratory (PNNL) and the Environmental Molecular Sciences Laboratory (EMSL) seeks a data scientist focused on data integration for predictive understanding of complex biological and environmental systems. The EMSL is a U.S. Department of Energy (DOE) Office of Science user facility that provides innovative and breakthrough experimental and computational science that addresses DOE Office of Biological and Environmental Research (BER) programs by providing access to more than 75 state-of-the-art instrumental and high-performance computing capabilities. EMSL users address some of the most important molecular-to-mesoscale challenges relevant to DOE missions. The candidate should have experience with or interest in scientific software development and management of scientific data in accordance with the FAIR principles. The position requires an ability and willingness to work with EMSL users to assist them in achieving their scientific objectives. The candidate must therefore be adept at collaborating with interdisciplinary technical teams through strong communication, interpersonal, and data science skills and experience in addition to be willing to assist domain-expert researchers with a variety of research interests. The candidate will also contribute to research in areas important to EMSL and PNNL.

Job Description:

+ Designs, develops, and implements methods, processes, and systems to analyze diverse data. Applies knowledge of statistics, machine learning, advanced mathematics, simulation, software development, and data modeling to integrate and clean data, recognize patterns, address uncertainty, pose questions, and make discoveries from structured and/or unstructured data. Produces solutions driven by exploratory data analysis from complex and high-dimensional datasets. Designs, develops, and evaluates predictive models and advanced algorithms that lead to optimal value extraction from the data. Demonstrates ability to transfer skills across application domains.

+ Contribute to a research program in data science applied to the biological or environmental sciences, developing data analysis and integration approaches for omics or imaging data.

+ Collaborate with researchers on the development and innovative application of advanced simulation, data analysis, visual analytics, or other computational techniques to research problems relevant to DOE-BER missions where computational approaches are significant.

Discipline, principal job duties/expectations, and qualitative and quantitative measures of performance that exceed the Functional Descriptor:

+ Selects and develops technical approaches on assignments with occasional oversight on complex problems. Principal investigator or co-PI on projects or tasks, while integrating capabilities of work team members. Supports scoping, scheduling, and budgeting at a project or major task level. Generates new ideas for proposals and business development opportunities while leading development of technical section of small to medium proposals.
*Minimum Qualifications**
+ BS/BA with 5 years of experience, or

+ MS/MA with 3 years of experience, or

+ PhD with 1 year of experience
*Preferred Qualifications**
+ Degree in Computational Biology, Applied Mathematics, Statistics, Computer Science, or related field.

+ Experience in evaluation/application of new algorithms and implementations for the biological or environmental sciences.

+ Experience in data management and scientific application processing, including data warehousing, workflow development, and automation.

+ Experience participating in domain-science software development teams.

+ Research experience in theory or methods in areas such as bioinformatics, data science, computer science, or computational chemistry.
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
_Directorate:_ _Earth & Biological Sciences_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Comput Analytics & Modeling_

_Opening Date:_ _2020-04-23_

_Closing Date:_ _2020-05-23_",3.8,"Pacific Northwest National Laboratory
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,108,145,126.5,Pacific Northwest National Laboratory, WA,1,55,0,0,0,0,0,data scientist,na,5144,3
5,Senior Research Statistician- Data Scientist,$108K-$145K (Glassdoor est.),"Acuity is seeking a Senior Research Statistician- Data Scientist to use statistical knowledge and research skills to solve business problems. The Research Statistician will develop, implement, and interpret statistical models with a strong emphasis on data mining and statistical/predictive modeling. Provides work direction.
ESSENTIAL FUNCTIONS:
Identifies and acquires additional data sources, both internal and external, that can be used to enhance analyses.
Lead the development of analytical models to drive superior business outcomes.
Develop in-depth understanding of drivers for optimization by utilizing statistics and data mining techniques.
Using latest PC tools, develop, enhance and monitor reports and models for other business areas.
Evaluate and use Data Mining Tools.
Support, train, encourage, consult other areas in the company and provide actionable information to management.
Continually monitor database information and future needs.
Explore and acquire data from outside sources.
Use database tools to support other departments
Regular and predictable attendance.
Perform other duties as assigned.
EDUCATION:
Masters/PhD in Statistics, Mathematics, Economics, Operations Research or Computer Science
EXPERIENCE:
5 years P&C insurance, modelling and project leader experience. Programming skills including SAS and R.
OTHER QUALIFICATIONS:
Strong interpersonal, quantitative, problem-solving, computer and conceptual skills.
Aptitude in predictive modeling, multivariate analysis, statistical modeling, data mining techniques and mathematical statistics.
Ability to apply strong programming and data management skills.
Knowledge of and experience with at least one major computer programming language or advanced syntax in a major statistical package.
This job is classified as exempt.",4.8,"Acuity Insurance
4.8","Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,0,0,108,145,126.5,Acuity Insurance, WI,1,95,0,0,0,0,0,data scientist,senior,1806,0
6,Data Scientist,$108K-$145K (Glassdoor est.),"Preferred Qualifications
Masters degree or doctorate in statistics or another applied science field or equivalent experience
Considerable experience with statistical tools and packages (e.g., SAS, SPSS, Minitab, R) and methods to incorporate statistical results into analyses
Proficiency in at least one programming language, such as Python, Java or C/C++
Strong knowledge of statistical methods, particularly in the areas of modeling and business analytics
Comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources
Ability to communicate complex quantitative analysis in a clear, precise and actionable manner
Experience with modeling and forecasting
Working knowledge of standard querying with SQL
Advanced hands-on experience with the Microsoft Office suite
Proven track record as a lead resource for the business
Strong written and verbal communication skills
Job Summary

The Data Scientist works with business owners and Technology teams to provide deep analysis and guidance on crucial business opportunities across many areas within the company. They draw upon their knowledge and experience in applied statistics, data mining, modeling and forecasting to ensure that results are accurate and clear, providing actionable opportunities for business leaders. The Data Scientist must be detail-oriented and highly aware of the impact of their analysis and solutions across the company. They take initiative and focus on finding innovative solutions for a myriad of business challenges.

Responsibilities
Work closely with various teams across the company to identify and solve business challenges utilizing large structured, semi-structured and unstructured data
Drive the collection of new data and the refinement of existing data sources for deep statistical analysis and modeling
Clean data in preparation for analysis and modeling
Perform statistical summaries and tests for relevant business questions
Develop predictive statistical, behavioral or other models via supervised and unsupervised machine learning, statistical analysis and other modeling techniques
Translate business opportunities into data-driven machine learning and modeling solutions that revamp the business process
Deploy applicable models into production system for business use
Perform statistical testing to enhance the predictability of deployed models
Summarize conclusions and solutions for presentation
Develop strong relationships with subject matter experts
Develop best practices for experimentation
Who We Are

Amrock is one of the largest providers of title insurance, property valuations and settlement services in the nation. The company is an authorized agent of the highest-rated title insurers in the industry, and its solutions power many of the nation's largest residential lending institutions. Amrock is a preferred provider to five of the top 20 Fortune 100 companies and many of the largest residential mortgage lenders. The company is based in Detroit and retains regional operating centers in Ohio, California, Pennsylvania and Texas.

Disclaimer

This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",3.6,"Amrock
3.6","Detroit, MI","Detroit, MI",1001 to 5000 employees,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),-1,0,0,108,145,126.5,Amrock, MI,1,23,1,0,0,0,0,data scientist,na,3342,0
7,"Senior Data Scientist, Air",$108K-$145K (Glassdoor est.),"ABOUT HOPPER

At Hopper, we’re on a mission to make booking travel faster, easier, and more transparent. We are leveraging the power that comes from combining massive amounts of data and machine learning to build the world’s fastest-growing travel app -- one that enables our customers to save money and travel more. With over $235M CAD in funding from leading investors in both Canada and the US, Hopper is primed to continue its path toward becoming the go-to way to book travel as the world continues its shift to mobile.

Recognized as the fastest-growing travel app by Forbes and one of the world’s most innovative companies by Fast Company two years in a row, Hopper has been downloaded over 40 million times and has helped travelers plan over 100 million trips and counting. The app has received high praise in the form of mobile accolades such as the Webby Award for Best Travel App of 2019, the Google Play Award for Standout Startup of 2016 and Apple’s App Store Best of 2015.

Take off with us!

THE ROLE

Hopper is looking for a data-savvy individual to join our team as a Data Scientist and lead data-centric product development and complex business intelligence projects within our core air travel business unit. Every day you would draw powerful insights from our real-time feed of billions of flight search results and archives of several trillion data points. To succeed at Hopper you need the talent, passion, and experience to thrive in a highly performing company.
IN THIS ROLE YOU WILL:
Frame and conduct complex exploratory analyses needed to deepen our understanding of Hopper users.
Partner with product, business and strategy teams to leverage this user understanding for product improvements and other initiatives
Use machine learning and big data tools on tremendously large and complex data sets to enhance our data-driven, personalized travel advice
Conduct research into various aspects of our business and employ statistical and modeling techniques when appropriate to make recommendations to non-technical stakeholders
Create advanced dashboards for product experiment tracking and business unit performance analysis using Amplitude and Tableau
Find effective ways to simplify and communicate analyses to a non-technical audience.
A PERFECT CANDIDATE HAS:
A degree in Math, Statistics, Computer Science, Engineering or other quantitative disciplines
Extremely strong analytical and problem-solving skills
Proven ability to communicate complex technical work to a non-technical audience
A strong passion for and extensive experience in conducting empirical research and answering hard questions with data
Experience with a data visualization tool (Tableau preferred) and project analysis tool such as Amplitude
Experience with relational databases and SQL, especially Hive
Experience working with extremely large data sets
Experience in Pandas, R, SAS or other tools appropriate for large scale data preparation and analysis
Experience with data mining, machine learning, statistical modeling tools and underlying algorithms
Proficiency with Unix/Linux environments
BENEFITS

• Well-funded and proven startup with large ambitions, competitive salary and stock options
• Dynamic and entrepreneurial team where pushing limits is everyday business
• 100% employer paid medical, dental, vision, disability and life insurance plans
• Access to a 401k (US) or Retirement Savings Plan (Canada)
• Easy commute with a paid-for public transportation or parking pass
• Fully stocked kitchen with: coffee/tea, beer, bagels and snacks (both healthy and not-healthy)
• Team lunches, offsite activities and much more!",3.6,"Hopper
3.6","New York, NY","Montreal, Canada",501 to 1000 employees,2007,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,-1,0,0,108,145,126.5,Hopper, NY,0,13,0,0,0,0,0,data scientist,senior,3633,0
8,Data Scientist,$108K-$145K (Glassdoor est.),"GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Data Scientist, you will be a member of this diverse and highly skilled team. On any given day, you may be exploring new data sets with a business or IT partner, learning the intricacies of a business process, building models, or coordinating the productionalization of a model. You will use a variety of tools (including SQL, Python, R, Spark, and shell scripting) in a variety of environments (including various databases, Linux servers, and Hadoop). You’ll work in a highly collaborative, team environment where you will quickly develop wide ranging exposure to new methods and best practices for conducting data science in a commercial environment.

Expected Qualifications:

Bachelor’s degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc. Advanced degree strongly preferred
2 years of combined academic/industry experience with predictive modeling, machine learning, advanced analytics
Solid understanding and experience with advanced statistics and modern machine learning predictive techniques such as GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, etc.
Strong coding skills using common data science tools, such as Python (strongly preferred), R, Linux/Unix command line and shell scripting, etc.
Strong skills in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Familiarity with distributed storage and big data computing technology (AWS, Hadoop, Spark, etc.)
Excellent communication skills
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes
About GEICO

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:
401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
GEICO Federal Credit Union
Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply

Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.
#LI-JW1",3.3,"GEICO
3.3","Chevy Chase, MD","Washington, DC",10000+ employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,108,145,126.5,GEICO, MD,0,84,1,0,1,1,1,data scientist,na,3785,0
9,Data Scientist,$108K-$145K (Glassdoor est.),"JOB CATEGORY:

Information Services

REQUISITION NUMBER:

351281

ds

A BIT ABOUT OUR DATA SCIENCE & ANALYTICS TEAM

Kinship’s Data Science & Analytics team is core to our strategy. We’re using digital, data and customer insights to transform our business by finding answers to problems that we’ve often never asked ourselves before. Our vast data assets are being combined to build a 360° view of Pets and Pet Owners to not only power Kinship’s businesses but also influence the next great ideas in the Petcare space. This role will be key in helping us understand the power of our data, and how this translates into value for our company, Pets, and Pet Owners. Frequently the projects will be ambiguous, but that’s part of the fun; you will determine the best way to leverage our data to tell the right story for any given audience.

HOW YOU’LL CREATE A BETTER WORLD FOR PETS
Apply data science approaches to understand and predict pet and pet owner behaviors
Use machine learning techniques, visualizations, & statistical analysis to gain insight into various data sets – some readily available, and some you create and curate yourself
Collaborate with internal and external teams to ensure we focus on pet-centric product and service recommendations
Support new pet technology businesses and partners by generating actionable insights from our data assets
Develop compelling stories that provide insight into the drivers of business performance and Pet/Pet Owner behavior
WHO WE NEED TO CHART THE FUTURE OF PET CARE

We strive to hire people who are:

Optimistic. Those who’s boundlessly energy and enthusiasm for what’s next shines through in everything they do. We seek to work with people who are intrinsically happy, and who will drive our vision and purpose while managing the complexities of our businesses.

Purposefully Inquisitive. Those who are courageous and use their deep business insights to cultivate innovation. We want the trailblazers in tech. Those who are entrepreneurs at heart, ask the tough questions, adapt quickly to new situations, and analyze data in new ways to push our big ideas forward.

Open to All. Those who are inclusive leaders, committed to learning, and leveraging our differences as strengths. We hire people who are naturally collaborative and thrive in a flat and flexible organization. Those who are thoughtful communicators, and seek to foster meaningful relationships across our community of diverse partners.

And for this role, we hope you have the following skills we require to round out our team:
Exceptional written & verbal communication, coupled with critical thinking skills.
Truly inspired by, and want to live, our purpose of creating a better world for pets.
1+ years’ experience in a data science role handling varied and complex data
Proficiency in machine learning modeling and statistical thinking (random forest, decision trees, supervised and unsupervised modeling, etc.)
Hands-on experience with Python is required; Familiarity with PySpark is also desirable
Comfortable with ambiguity, with a passion for collaboration to achieve objectives
A Bachelor’s degree in quantitative field (economics, statistics, business, computer science) or equivalent experience
If you also had these experiences, you’d knock it out of the dog park:
Passion for growing and strengthening a business using data driven approaches
Familiarity with cloud-based computing services e.g. AWS, Databricks, etc.
Enjoys explaining how models and systems work to both non-technical and technical stakeholders.
.

Nearest Major Market: Portland Oregon
Job Segment:
Scientific, Database, Computer Science, Cloud, Statistics, Engineering, Technology, Data

Apply now »",3.9,"Mars
3.9",Oregon,"Mc Lean, VA",10000+ employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,108,145,126.5,Mars,OR,0,109,1,0,1,1,0,data scientist,na,3703,0
